id,痛点,人群,书籍,金句,status
1,总忍不住刷手机,上班族,《认知觉醒》,模糊是焦虑的源头，清晰是行动的开始,published
2,想搞副业但没方向,宝妈,《纳瓦尔宝典》,用专长+杠杆=财富,published
3,想要改变却无从下手,职场人,《别让微压力消耗你》,认知决定了你的上限,published
4,容易焦虑迷茫,职场人,《聪明人的个人成长》,行动是治愈焦虑的良药,published
5,总觉得生活没有方向,职场人,《5分钟高效休息法》,阅读是门槛最低的高贵,published
6,想要改变却无从下手,职场新人,《高效放松》,习惯决定命运,published
7,容易焦虑迷茫,职场新人,《惯性带你飞》,阅读是门槛最低的高贵,published
8,不知道如何提升自己,有储蓄需求的人,《时间盒》,认知决定了你的上限,published
9,不知道如何提升自己,有困惑的年轻人,《早上还什么都不想干，晚上就都做完了》,改变从当下开始,unpublished
10,想要养成好习惯,职场新人,《这就是心理学》,成长是一场与自己的对话,unpublished
11,想要提升思维能力,想要自我提升的人,《心理学与生活》,阅读是门槛最低的高贵,unpublished
12,容易焦虑迷茫,想要自我提升的人,《别相信直觉》,改变从当下开始,unpublished
13,想要改善人际关系,投资者,《怎样决定大事》,行动是治愈焦虑的良药,unpublished
14,容易焦虑迷茫,追求成长的人,《人生十年，不可辜负的20岁到30岁》,思考力是核心竞争力,unpublished
15,想要提升思维能力,追求成长的人,《中年之路》,认知决定了你的上限,unpublished
16,总觉得生活没有方向,投资者,《我们为什么而活》,成长是一场与自己的对话,unpublished
17,想要改善人际关系,宝妈,《不被定义的年龄》,阅读是门槛最低的高贵,unpublished
18,想要突破自我限制,有储蓄需求的人,《我从何来》,认知决定了你的上限,unpublished
19,想要突破自我限制,有储蓄需求的人,《自驱型成长》,阅读是门槛最低的高贵,unpublished
20,想要突破自我限制,学生党,《深度看见：艾瑞克森催眠法》,思考力是核心竞争力,unpublished
21,想要突破自我限制,想要自我提升的人,《恐惧给你的礼物》,思考力是核心竞争力,unpublished
22,想要突破自我限制,投资者,《不配得感》,思考力是核心竞争力,unpublished
23,想要养成好习惯,职场人,《男性困境》,阅读是门槛最低的高贵,unpublished
24,想要更好的沟通技巧,想要自我提升的人,《撑起TA的晴天》,阅读是门槛最低的高贵,unpublished
25,不知道如何提升自己,有困惑的年轻人,《爱的艺术》,思考力是核心竞争力,unpublished
26,想要突破自我限制,有储蓄需求的人,《非暴力沟通》,成长是一场与自己的对话,unpublished
